邵氏经典,#genre#
封神劫,https://hd.ijycnd.com/play/neg5Yjbw/index.m3u8
大杀四方,https://vod.guoluche.com/20231127/ImV0fYPO/index.m3u8
洪拳大师,https://hn.bfvvs.com/play/Pdyk2PaQ/index.m3u8
广东十虎与后五虎,https://hn.bfvvs.com/play/pen6RWe7/index.m3u8
大海盗,https://hn.bfvvs.com/play/DbD9j5dl/index.m3u8
中国超人,https://hn.bfvvs.com/play/lejO0yaj/index.m3u8
青蛙王子,https://hn.bfvvs.com/play/QeZY1Edp/index.m3u8
少林五祖,https://hn.bfvvs.com/play/yb81V5dv/index.m3u8
大盗歌王,https://hn.bfvvs.com/play/YerRxBeO/index.m3u8
天下第一拳,https://hn.bfvvs.com/play/5eV5kzdE/index.m3u8
太极拳,https://hn.bfvvs.com/play/Yer2oEEe/index.m3u8
南斗官三斗北少爷,https://hn.bfvvs.com/play/penyk7d7/index.m3u8
书剑恩仇录,https://hn.bfvvs.com/play/penzWle7/index.m3u8
艳阳天,https://hn.bfvvs.com/play/pen5x7Rd/index.m3u8
千门八将,https://hn.bfvvs.com/play/lejY9m4d/index.m3u8
仇连环,https://hn.bfvvs.com/play/lejqOvdj/index.m3u8
唐人街小子,https://hn.bfvvs.com/play/Rb46BkVe/index.m3u8
大内高手,https://hn.bfvvs.com/play/YerRJKeO/index.m3u8
方世玉与胡惠乾,https://hn.bfvvs.com/play/Rb48WnbB/index.m3u8
猩猩王,https://hn.bfvvs.com/play/yb8B9jev/index.m3u8
霹雳十杰,https://v2.qrssuv.com/202505/23/P5nVx9esnT74/video/1000k_720/hls/index.m3u8
打雀英雄传,https://v12.qrssuv.com/202505/23/RnVPPNVvh284/video/1000k_720/hls/index.m3u8
六指琴魔,https://v10.qrssuv.com/202505/23/g82QmZZzTB82/video/1000k_720/hls/index.m3u8
少林传人,https://v8.qrssuv.com/202505/23/XWj4WvnkH780/video/1000k_720/hls/index.m3u8
唐朝豪放女,https://v.gsuus.com/play/7e5l1Zd2/index.m3u8
女人面面观,https://yzzy.play-cdn7.com/20220629/1277_a65866c4/index.m3u8
声·色·犬·马,https://hd.ijycnd.com/play/6dBLoYna/index.m3u8
金·瓶·双·艳,https://hd.ijycnd.com/play/zbqjEKrd/index.m3u8
风月奇谭,https://vod.guoluche.com/20231120/ko8EWe3a/index.m3u8
勾魂降头,https://hn.bfvvs.com/play/YaOrzLex/index.m3u8

国产老电影,#genre#
娇娇小姐,https://d.kstore.dev/download/7961/index.mp4
她俩和他俩(1979),https://d.kstore.dev/download/7961/talia1979.mp4
